,0,1,2,3,4,5,6
0,0.01,0.1,0.05,701.4477123501553,11.953397611094882,1.1600223523285793,157478
1,0.01,0.25263157894736843,0.05,707.284339454403,14.44583677136113,1.2652493572491768,133022
2,0.01,0.4052631578947369,0.05,728.7873761817932,15.358897358022533,1.3022730705931926,125777
3,0.01,0.5578947368421052,0.05,766.836376899042,18.103736519313543,1.3966526887480835,108266
4,0.01,0.7105263157894737,0.05,778.5933197524829,19.890832543937442,1.4583602063850372,99232
5,0.01,0.8631578947368421,0.05,792.0485778374722,23.232865336890793,1.5563038133964044,85829
6,0.01,1.0157894736842106,0.05,792.9018434587357,25.895855328540634,1.634559041804876,77479
7,0.01,1.168421052631579,0.05,850.3312348678083,29.522896781078238,1.7152087475149105,68408
8,0.01,1.3210526315789475,0.05,902.7408639586016,32.6886201224424,1.7877235379410343,62070
9,0.01,1.473684210526316,0.05,897.8400434281357,36.90651888585235,1.8744502560946916,55253
10,0.01,1.6263157894736844,0.05,912.2229084954188,39.98703812001252,1.9342825848849945,51128
11,0.01,1.7789473684210528,0.05,938.4217002539153,44.85602340625478,2.0200406495181067,45757
12,0.01,1.931578947368421,0.05,957.7679743511405,48.43731675892121,2.0781062301260156,42455
13,0.01,2.0842105263157893,0.05,921.2669894574927,53.839262464108586,2.1717828243278516,38310
14,0.01,2.236842105263158,0.05,885.657549773946,58.11055997187061,2.2347679324894516,35550
15,0.01,2.3894736842105266,0.05,828.4466198188516,62.95507768584985,2.3099221316461858,32876
16,0.01,2.542105263157895,0.05,869.4508610520606,68.5120731989425,2.3874091209517516,30260
17,0.01,2.694736842105263,0.05,886.258053427306,72.25019370670752,2.4240662744961536,28729
18,0.01,2.8473684210526318,0.05,928.3538937334005,79.45105708608766,2.505330327461694,26171
19,0.01,3.0,0.05,882.0715344977689,83.33617177987824,2.5517061839154116,24968
20,0.01,0.1,0.125,680.6250375051619,12.251062922895105,1.1604501357160482,153998
21,0.01,0.25263157894736843,0.125,666.8628516187844,15.112067377331867,1.2664132309139364,127580
